,"Population"
"1950",5077596
"1951",5220288
"1952",5373395
"1953",5535165
"1954",5706212
"1955",5887163
"1956",6077347
"1957",6275801
"1958",6479011
"1959",6690090
"1960",6961215
"1961",7162667
"1962",7337375
"1963",7514714
"1964",7695739
"1965",7882606
"1966",8074521
"1967",8271913
"1968",8475729
"1969",8690383
"1970",8925813
"1971",9176264
"1972",9438187
"1973",9714617
"1974",10000523
"1975",10294308
"1976",10594913
"1977",10911871
"1978",11248450
"1979",11597255
"1980",11941448
"1981",12281712
"1982",12643819
"1983",13029836
"1984",13370590
"1985",13661229
"1986",13965217
"1987",14289108
"1988",14636568
"1989",15006813
"1990",15394648
"1991",15787496
"1992",16184855
"1993",16589519
"1994",16993190
"1995",17399017
"1996",17810181
"1997",18238958
"1998",18688036
"1999",19149864
"2000",19637087
"2001",20167069
"2002",20729388
"2003",21296705
"2004",21868298
"2005",22449438
"2006",23040702
"2007",23642279
"2008",24249946
"2009",24862664
"2010",25474995
"2011",26095088
"2012",26734268
"2013",27386193
"2014",28041592
"2015",28696068
"2016",29356742
"2017",30008354
"2018",30637585
"2019",31258945
"2020",31887809
"2021",32518665
"2022",33149152
"2023",33787914
"2024",34777522
"2025",35439785
